2011-09-07 19:06:42 Debug: Notice (8): Undefined index: PostalCode in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 90]
2011-09-07 19:06:42 Debug: Notice (8): Undefined index: Details in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 95]
2011-09-07 19:07:55 Debug: Notice (8): Undefined index: SchoolAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\schools_controller.php, line 21]
2011-09-07 19:07:56 Debug: Notice (8): Undefined index: SchoolAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\schools_controller.php, line 21]
2011-09-07 19:14:54 Debug: Notice (8): Undefined index: AddressID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 65]
2011-09-07 19:14:54 Debug: Notice (8): Undefined index: AddressLine1 in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 70]
2011-09-07 19:14:54 Debug: Notice (8): Undefined index: AddressLine2 in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 75]
2011-09-07 19:14:55 Debug: Notice (8): Undefined index: City in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 80]
2011-09-07 19:14:55 Debug: Notice (8): Undefined index: Country in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 85]
2011-09-07 19:14:55 Debug: Notice (8): Undefined index: PostalCode in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 90]
2011-09-07 19:14:55 Debug: Notice (8): Undefined index: Details in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 95]
2011-09-07 19:14:55 Debug: Notice (8): Undefined index: AddressID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 65]
2011-09-07 19:14:55 Debug: Notice (8): Undefined index: AddressLine1 in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 70]
2011-09-07 19:14:55 Debug: Notice (8): Undefined index: AddressLine2 in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 75]
2011-09-07 19:14:55 Debug: Notice (8): Undefined index: City in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 80]
2011-09-07 19:14:55 Debug: Notice (8): Undefined index: Country in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 85]
2011-09-07 19:14:55 Debug: Notice (8): Undefined index: PostalCode in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 90]
2011-09-07 19:14:55 Debug: Notice (8): Undefined index: Details in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\view.ctp, line 95]
2011-09-07 19:16:37 Debug: Notice (8): Undefined index: SchoolAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\schools_controller.php, line 109]
2011-09-07 19:16:38 Debug: Notice (8): Undefined index: SchoolAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\schools_controller.php, line 109]
2011-09-07 19:17:39 Debug: Notice (8): Undefined index: SchoolAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\schools_controller.php, line 108]
2011-09-07 19:17:40 Debug: Notice (8): Undefined index: SchoolAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\schools_controller.php, line 108]
2011-09-07 19:22:40 Debug: Notice (8): Undefined property: View::$datas in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\edit.ctp, line 41]
2011-09-07 19:49:27 Debug: Notice (8): Undefined variable: schoolAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\students_controller.php, line 92]
2011-09-07 19:49:28 Debug: Notice (8): Undefined variable: schoolAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\students_controller.php, line 92]
2011-09-07 19:49:49 Debug: Notice (8): Undefined variable: schoolAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\students_controller.php, line 92]
2011-09-07 19:49:50 Debug: Notice (8): Undefined variable: schoolAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\students_controller.php, line 92]
